id,buyer_id,emi_no,due_date,amount,status,paid_date
1,1,1,2/1/2026,1975,Unpaid,
2,1,2,3/1/2026,1975,Unpaid,
3,1,3,4/1/2026,1975,Unpaid,
4,1,4,5/1/2026,1975,Unpaid,
5,1,5,6/1/2026,1975,Unpaid,
6,1,6,7/1/2026,1975,Unpaid,
7,1,7,8/1/2026,1975,Unpaid,
8,1,8,9/1/2026,1975,Unpaid,
9,1,9,10/1/2026,1975,Unpaid,
10,1,10,11/1/2026,1975,Unpaid,
11,1,11,12/1/2026,1975,Unpaid,
12,1,12,1/1/2027,1975,Unpaid,
13,1,13,2/1/2027,1975,Unpaid,
14,1,14,3/1/2027,1975,Unpaid,
15,1,15,4/1/2027,1975,Unpaid,
16,1,16,5/1/2027,1975,Unpaid,
17,1,17,6/1/2027,1975,Unpaid,
18,1,18,7/1/2027,1975,Unpaid,
19,2,1,2/2/2026,2180,Unpaid,
20,2,2,3/2/2026,2180,Unpaid,
21,2,3,4/2/2026,2180,Unpaid,
22,2,4,5/2/2026,2180,Unpaid,
23,2,5,6/2/2026,2180,Unpaid,
24,2,6,7/2/2026,2180,Unpaid,
25,2,7,8/2/2026,2180,Unpaid,
26,2,8,9/2/2026,2180,Unpaid,
27,2,9,10/2/2026,2180,Unpaid,
28,2,10,11/2/2026,2180,Unpaid,
29,2,11,12/2/2026,2180,Unpaid,
30,2,12,1/2/2027,2180,Unpaid,
31,3,1,2/5/2026,4030,Unpaid,
32,3,2,3/5/2026,4030,Unpaid,
33,3,3,4/5/2026,4030,Unpaid,
34,3,4,5/5/2026,4030,Unpaid,
35,3,5,6/5/2026,4030,Unpaid,
36,3,6,7/5/2026,4030,Unpaid,
37,3,7,8/5/2026,4030,Unpaid,
38,3,8,9/5/2026,4030,Unpaid,
39,3,9,10/5/2026,4030,Unpaid,
40,3,10,11/5/2026,4030,Unpaid,
41,3,11,12/5/2026,4030,Unpaid,
42,3,12,1/5/2027,4030,Unpaid,
43,4,1,2/12/2026,2955,Unpaid,
44,4,2,3/12/2026,2955,Unpaid,
45,4,3,4/12/2026,2955,Unpaid,
46,4,4,5/12/2026,2955,Unpaid,
47,4,5,6/12/2026,2955,Unpaid,
48,4,6,7/12/2026,2955,Unpaid,
49,4,7,8/12/2026,2955,Unpaid,
50,4,8,9/12/2026,2955,Unpaid,
51,4,9,10/12/2026,2955,Unpaid,
52,4,10,11/12/2026,2955,Unpaid,
53,4,11,12/12/2026,2955,Unpaid,
54,4,12,1/12/2027,2955,Unpaid,
55,4,13,2/12/2027,2955,Unpaid,
56,4,14,3/12/2027,2955,Unpaid,
57,4,15,4/12/2027,2955,Unpaid,
58,4,16,5/12/2027,2955,Unpaid,
59,4,17,6/12/2027,2955,Unpaid,
60,4,18,7/12/2027,2955,Unpaid,
61,5,1,2/15/2026,3370,Unpaid,
62,5,2,3/15/2026,3370,Unpaid,
63,5,3,4/15/2026,3370,Unpaid,
64,5,4,5/15/2026,3370,Unpaid,
65,5,5,6/15/2026,3370,Unpaid,
66,5,6,7/15/2026,3370,Unpaid,
67,5,7,8/15/2026,3370,Unpaid,
68,5,8,9/15/2026,3370,Unpaid,
69,5,9,10/15/2026,3370,Unpaid,
70,5,10,11/15/2026,3370,Unpaid,
71,5,11,12/15/2026,3370,Unpaid,
72,5,12,1/15/2027,3370,Unpaid,
73,5,13,2/15/2027,3370,Unpaid,
74,5,14,3/15/2027,3370,Unpaid,
75,5,15,4/15/2027,3370,Unpaid,
76,5,16,5/15/2027,3370,Unpaid,
77,5,17,6/15/2027,3370,Unpaid,
78,5,18,7/15/2027,3370,Unpaid,
79,6,1,2/17/2026,6882,Unpaid,
80,6,2,3/17/2026,6882,Unpaid,
81,6,3,4/17/2026,6882,Unpaid,
82,6,4,5/17/2026,6882,Unpaid,
83,6,5,6/17/2026,6882,Unpaid,
84,6,6,7/17/2026,6882,Unpaid,
85,6,7,8/17/2026,6882,Unpaid,
86,6,8,9/17/2026,6882,Unpaid,
87,6,9,10/17/2026,6882,Unpaid,
88,6,10,11/17/2026,6882,Unpaid,
89,6,11,12/17/2026,6882,Unpaid,
90,6,12,1/17/2027,6882,Unpaid,
91,7,1,3/1/2026,5040,Unpaid,
92,7,2,4/1/2026,5040,Unpaid,
93,7,3,5/1/2026,5040,Unpaid,
94,7,4,6/1/2026,5040,Unpaid,
95,7,5,7/1/2026,5040,Unpaid,
96,7,6,8/1/2026,5040,Unpaid,
97,7,7,9/1/2026,5040,Unpaid,
98,7,8,10/1/2026,5040,Unpaid,
99,7,9,11/1/2026,5040,Unpaid,
100,7,10,12/1/2026,5040,Unpaid,
101,7,11,1/1/2027,5040,Unpaid,
102,7,12,2/1/2027,5040,Unpaid,
103,7,13,3/1/2027,5040,Unpaid,
104,7,14,4/1/2027,5040,Unpaid,
105,7,15,5/1/2027,5040,Unpaid,
106,7,16,6/1/2027,5040,Unpaid,
107,7,17,7/1/2027,5040,Unpaid,
108,7,18,8/1/2027,5040,Unpaid,
109,8,1,3/2/2026,2110,Unpaid,
110,8,2,4/2/2026,2110,Unpaid,
111,8,3,5/2/2026,2110,Unpaid,
112,8,4,6/2/2026,2110,Unpaid,
113,8,5,7/2/2026,2110,Unpaid,
114,8,6,8/2/2026,2110,Unpaid,
115,8,7,9/2/2026,2110,Unpaid,
116,8,8,10/2/2026,2110,Unpaid,
117,8,9,11/2/2026,2110,Unpaid,
118,8,10,12/2/2026,2110,Unpaid,
119,8,11,1/2/2027,2110,Unpaid,
120,8,12,2/2/2027,2110,Unpaid,
